flow,origin,destination
155,36007,36077
9,36007,36079
29,36007,36081
11,36007,36083
15,36007,36087
17,36007,36089
39,36007,36091
35,36007,36093
19,36007,36095
18,36007,36101
10,36007,36103
129,36007,36105
3164,36007,36107
659,36007,36109
18,36007,36111
18,36007,36115
2,36007,36117
6,36007,36119
84,36007,36123
678,36009,36003
2,36009,36005
7,36009,36007
23231,36009,36009
2,36009,36011
2015,36009,36013
6,36009,36023
4508,36009,36029
9,36009,36037
17,36009,36047
11,36009,36051
7,36009,36053
14,36009,36055
82,36009,36063
15,36009,36067
12,36009,36075
14,36009,36077
6,36009,36079
3,36009,36087
18,36009,36089
15,36009,36091
7,36009,36093
25,36009,36099
20,36009,36101
9,36009,36103
4,36009,36107
3,36009,36119
1362,36009,36121
45,36011,36001
19,36011,36007
3,36011,36009
22604,36011,36011
26,36011,36015
12,36011,36017
693,36011,36023
5,36011,36027
8,36011,36029
4,36011,36041
6,36011,36043
6,36011,36045
13,36011,36047
77,36011,36053
178,36011,36055
5,36011,36059
9,36011,36061
20,36011,36065
6746,36011,36067
324,36011,36069
3,36011,36071
869,36011,36075
26,36011,36081
12,36011,36093
3,36011,36097
939,36011,36099
11,36011,36101
15,36011,36105
14,36011,36107
2384,36011,36109
18,36011,36113
707,36011,36117
6,36011,36119
6,36011,36123
32,36013,36003
13,36013,36007
956,36013,36009
5,36013,36011
49679,36013,36013
53,36013,36027
2405,36013,36029
9,36013,36037
6,36013,36045
15,36013,36047
12,36013,36051
4,36013,36053
144,36013,36055
21,36013,36061
40,36013,36063
5,36013,36065
45,36013,36067
7,36013,36071
2,36013,36081
11,36013,36089
2,36013,36105
7,36013,36107
7,36013,36109
4,36013,36121
7,36013,36123
49,36015,36001
9,36015,36003
225,36015,36007
37,36015,36009
70,36015,36011
4,36015,36013
28857,36015,36015
14,36015,36023
7,36015,36027
8,36015,36037
6,36015,36045
32,36015,36047
39,36015,36051
81,36015,36055
50,36015,36061
40,36015,36065
39,36015,36067
21,36015,36069
14,36015,36073
8,36015,36081
3,36015,36087
504,36015,36097
45,36015,36099
3858,36015,36101
8,36015,36105
851,36015,36107
1254,36015,36109
12,36015,36111
23,36015,36115
13,36015,36117
27,36015,36123
50,36017,36001
7,36017,36005
2301,36017,36007
10,36017,36011
4,36017,36013
6,36017,36015
14235,36017,36017
330,36017,36023
1386,36017,36025
8,36017,36029
2,36017,36045
21,36017,36047
627,36017,36053
5,36017,36055
16,36017,36057
26,36017,36059
20,36017,36061
192,36017,36065
312,36017,36067
5,36017,36071
5,36017,36075
1155,36017,36077
5,36017,36081
19,36017,36083
2,36017,36089
2,36017,36091
4,36017,36093
16,36017,36095
8,36017,36097
33,36017,36101
3,36017,36103
19,36017,36105
56,36017,36107
52,36017,36109
3,36017,36111
7,36017,36115
20,36017,36119
3,36019,36001
1,36019,36005
3,36019,36011
17,36019,36013
31318,36019,36019
32,36019,36021
6,36019,36023
99,36019,36027
1149,36019,36031
760,36019,36033
16,36019,36045
19,36019,36047
12,36019,36055
12,36019,36061
3,36019,36071
9,36019,36081
47,36019,36083
70,36019,36089
85,36019,36091
6,36019,36093
81,36019,36113
42,36019,36119
3005,36021,36001
49,36021,36005
4,36021,36019
17667,36021,36021
2550,36021,36027
26,36021,36029
9,36021,36035
863,36021,36039
10,36021,36043
5,36021,36045
112,36021,36047
6,36021,36053
15,36021,36057
8,36021,36059
720,36021,36061
73,36021,36071
61,36021,36081
1262,36021,36083
16,36021,36087
14,36021,36089
102,36021,36091
146,36021,36093
7,36021,36095
14,36021,36101
17,36021,36103
6,36021,36105
482,36021,36111
25,36021,36115
188,36021,36119
5,36021,36121
58,36023,36001
477,36023,36007
15,36023,36009
231,36023,36011
19,36023,36015
106,36023,36017
16662,36023,36023
9,36023,36025
38,36023,36029
3,36023,36045
98,36023,36053
9,36023,36055
3,36023,36059
14,36023,36061
22,36023,36065
2140,36023,36067
11,36023,36075
35,36023,36077
8,36023,36081
96,36023,36089
4,36023,36095
16,36023,36097
8,36023,36099
8,36023,36101
4,36023,36105
44,36023,36107
3277,36023,36109
3,36023,36115
64,36025,36001
34,36025,36005
601,36025,36007
4,36025,36013
416,36025,36017
8,36025,36021
21,36025,36023
13527,36025,36025
20,36025,36027
7,36025,36033
3,36025,36035
75,36025,36039
2,36025,36045
46,36025,36047
16,36025,36053
28,36025,36055
24,36025,36059
188,36025,36061
7,36025,36065
7,36025,36067
9,36025,36069
36,36025,36071
2,36025,36075
2717,36025,36077
42,36025,36081
3,36025,36083
12,36025,36087
2,36025,36089
4,36025,36091
4,36025,36093
343,36025,36095
4,36025,36103
502,36025,36105
29,36025,36107
11,36025,36109
260,36025,36111
20,36025,36119
374,36027,36001
1125,36027,36005
7,36027,36007
12,36027,36013
712,36027,36021
93821,36027,36027
12,36027,36033
9,36027,36035
57,36027,36039
707,36027,36047
17,36027,36055
220,36027,36059
5397,36027,36061
19,36027,36065
23,36027,36069
5326,36027,36071
12,36027,36077
5356,36027,36079
475,36027,36081
13,36027,36083
18,36027,36085
725,36027,36087
99,36027,36091
8,36027,36093
17,36027,36095
115,36027,36103
92,36027,36105
5,36027,36109
4580,36027,36111
13,36027,36115
15587,36027,36119
156,36029,36001
208,36029,36003
10,36029,36005
67,36029,36007
1607,36029,36009
49,36029,36011
1485,36029,36013
69,36029,36015
15,36029,36023
47,36029,36027
404471,36029,36029
1982,36029,36037
4,36029,36039
6,36029,36043
41,36029,36045
217,36029,36047
91,36029,36051
37,36029,36053
1336,36029,36055
34,36029,36059
136,36029,36061
13940,36029,36063
80,36029,36065
174,36029,36067
56,36029,36069
45,36029,36071
553,36029,36073
47,36029,36075
42,36029,36077
145,36029,36081
3,36029,36083
16,36029,36087
33,36029,36091
13,36029,36093
15,36029,36095
53,36029,36099
15,36029,36101
2,36029,36105
8,36029,36109
36,36029,36111
6,36029,36115
9,36029,36117
20,36029,36119
1776,36029,36121
34,36031,36001
14,36031,36005
1756,36031,36019
62,36031,36021
1,36031,36027
12933,36031,36031
1097,36031,36033
2,36031,36035
32,36031,36041
40,36031,36045
8,36031,36059
9,36031,36061
17,36031,36065
5,36031,36067
14,36031,36081
25,36031,36083
2,36031,36085
10,36031,36089
86,36031,36091
10,36031,36093
2,36031,36103
366,36031,36113
147,36031,36115
23,36031,36119
8,36033,36001
4,36033,36007
3,36033,36013
426,36033,36019
17,36033,36027
51,36033,36029
1616,36033,36031
15860,36033,36033
31,36033,36035
18,36033,36041
4,36033,36043
20,36033,36045
1,36033,36047
38,36033,36053
9,36033,36055
20,36033,36067
12,36033,36071
54,36033,36075
41,36033,36081
1,36033,36083
1044,36033,36089
11,36033,36091
12,36033,36113
12,36033,36117
15,36033,36119
1522,36035,36001
10,36035,36015
5,36035,36027
3,36035,36029
14241,36035,36035
55,36035,36039
39,36035,36041
447,36035,36043
4,36035,36053
4,36035,36055
4209,36035,36057
14,36035,36059
42,36035,36061
100,36035,36065
16,36035,36067
20,36035,36075
27,36035,36077
100,36035,36083
1266,36035,36091
1040,36035,36093
122,36035,36095
15,36035,36103
49,36035,36113
18,36035,36115
13,36037,36001
13,36037,36003
4,36037,36007
8,36037,36009
9,36037,36013
3620,36037,36029
18049,36037,36037
3,36037,36043
9,36037,36045
893,36037,36051
4500,36037,36055
178,36037,36063
22,36037,36065
16,36037,36067
172,36037,36069
531,36037,36073
5,36037,36083
9,36037,36089
5,36037,36093
4,36037,36097
5,36037,36099
6,36037,36103
4,36037,36111
12,36037,36117
993,36037,36121
2942,36039,36001
13,36039,36005
2107,36039,36021
178,36039,36025
349,36039,36027
10749,36039,36039
25,36039,36041
17,36039,36047
5,36039,36059
259,36039,36061
35,36039,36071
19,36039,36079
36,36039,36081
315,36039,36083
40,36039,36085
113,36039,36091
195,36039,36093
101,36039,36095
10,36039,36099
5,36039,36101
47,36039,36103
1487,36039,36111
31,36039,36113
1,36039,36115
71,36039,36119
58,36041,36001
7,36041,36021
1,36041,36027
42,36041,36031
9,36041,36033
187,36041,36035
1093,36041,36041
48,36041,36043
98,36041,36057
38,36041,36065
28,36041,36067
1,36041,36083
47,36041,36089
1,36041,36091
31,36041,36093
106,36041,36113
7,36041,36119
173,36043,36001
2,36043,36003
6,36043,36005
25,36043,36007
9,36043,36011
47,36043,36017
5,36043,36021
8,36043,36023
11,36043,36027
6,36043,36029
1,36043,36031
13,36043,36033
378,36043,36035
10,36043,36039
37,36043,36041
14842,36043,36043
6,36043,36045
7,36043,36047
22,36043,36049
3,36043,36051
108,36043,36053
13,36043,36055
561,36043,36057
43,36043,36061
10214,36043,36065
418,36043,36067
10,36043,36069
9,36043,36071
3,36043,36073
3,36043,36075
830,36043,36077
37,36043,36081
28,36043,36083
13,36043,36089
28,36043,36091
37,36043,36093
81,36043,36095
9,36043,36099
2,36043,36103
5,36043,36105
4,36043,36109
6,36043,36111
7,36043,36113
15,36043,36115
1,36043,36117
15,36043,36119
47,36045,36001
14,36045,36007
8,36045,36011
4,36045,36015
13,36045,36017
11,36045,36019
11,36045,36027
9,36045,36029
3,36045,36033
51101,36045,36045
345,36045,36049
3,36045,36051
10,36045,36053
22,36045,36055
25,36045,36059
5,36045,36061
98,36045,36065
531,36045,36067
3,36045,36071
317,36045,36075
6,36045,36081
23,36045,36083
554,36045,36089
13,36045,36091
14,36045,36095
114,36045,36099
3,36045,36101
4,36045,36109
10,36045,36111
100,36047,36001
15,36047,36003
13829,36047,36005
60,36047,36007
14,36047,36017
10,36047,36021
37,36047,36023
30,36047,36025
147,36047,36027
64,36047,36029
33,36047,36033
37,36047,36037
24,36047,36039
50,36047,36043
24,36047,36045
574794,36047,36047
11,36047,36051
11,36047,36053
94,36047,36055
11188,36047,36059
429343,36047,36061
32,36047,36067
17,36047,36069
408,36047,36071
35,36047,36077
23,36047,36079
70937,36047,36081
26,36047,36083
6097,36047,36085
498,36047,36087
21,36047,36089
13,36047,36091
25,36047,36095
19,36047,36097
9,36047,36101
3153,36047,36103
244,36047,36105
27,36047,36109
123,36047,36111
61,36047,36115
3360,36047,36119
6,36049,36001
12,36049,36007
24,36049,36011
3,36049,36017
3,36049,36019
6,36049,36027
8,36049,36029
4,36049,36031
5,36049,36033
3,36049,36035
27,36049,36037
1,36049,36039
6,36049,36041
112,36049,36043
2540,36049,36045
5,36049,36047
7189,36049,36049
16,36049,36053
17,36049,36055
3,36049,36059
1188,36049,36065
143,36049,36067
1,36049,36069
16,36049,36075
4,36049,36077
4,36049,36081
9,36049,36083
2,36049,36085
148,36049,36089
6,36049,36091
8,36049,36093
3,36049,36095
5,36049,36097
15,36049,36105
2,36049,36111
7,36049,36119
8,36049,36121
3,36051,36001
208,36051,36003
1,36051,36005
7,36051,36007
4,36051,36009
11,36051,36011
4,36051,36013
9,36051,36015
199,36051,36029
573,36051,36037
8,36051,36039
8,36051,36041
2,36051,36043
6,36051,36045
42,36051,36047
15916,36051,36051
9768,36051,36055
22,36051,36063
12,36051,36065
65,36051,36067
883,36051,36069
8,36051,36073
10,36051,36075
14,36051,36079
8,36051,36081
11,36051,36085
73,36051,36091
13,36051,36099
883,36051,36101
51,36051,36103
8,36051,36109
40,36051,36117
33,36051,36119
477,36051,36121
14,36051,36123
40,36053,36001
6,36053,36007
111,36053,36011
1,36053,36013
588,36053,36017
13,36053,36019
200,36053,36023
54,36053,36025
4,36053,36027
8,36053,36029
14,36053,36033
10,36053,36037
52,36053,36043
1,36053,36047
2,36053,36049
16374,36053,36053
35,36053,36055
17,36053,36057
3,36053,36059
20,36053,36061
4488,36053,36065
9799,36053,36067
5,36053,36071
161,36053,36075
143,36053,36077
2,36053,36081
21,36053,36083
2,36053,36087
20,36053,36093
26,36053,36105
32,36053,36109
33,36053,36111
8,36053,36119
9,36053,36121
80,36055,36001
56,36055,36003
32,36055,36007
27,36055,36009
109,36055,36011
52,36055,36013
8,36055,36015
55,36055,36017
5,36055,36019
29,36055,36023
12,36055,36025
8,36055,36027
1187,36055,36029
1191,36055,36037
82,36055,36045
93,36055,36047
14,36055,36049
1867,36055,36051
25,36055,36053
331559,36055,36055
34,36055,36059
127,36055,36061
96,36055,36063
38,36055,36065
423,36055,36067
8256,36055,36069
96,36055,36071
1269,36055,36073
79,36055,36075
17,36055,36077
12,36055,36079
50,36055,36081
17,36055,36083
22,36055,36085
26,36055,36089
18,36055,36091
167,36055,36099
381,36055,36101
46,36055,36103
119,36055,36109
19,36055,36111
22,36055,36113
3640,36055,36117
44,36055,36119
95,36055,36121
139,36055,36123
2400,36057,36001
18,36057,36011
3,36057,36017
36,36057,36021
24,36057,36023
16,36057,36025
18,36057,36027
3,36057,36029
2359,36057,36035
20,36057,36039
18,36057,36041
368,36057,36043
3,36057,36053
3,36057,36055
11808,36057,36057
17,36057,36061
85,36057,36065
27,36057,36067
6,36057,36071
6,36057,36075
301,36057,36077
147,36057,36083
619,36057,36091
2052,36057,36093
449,36057,36095
3,36057,36097
4,36057,36103
11,36057,36111
3,36057,36113
58,36059,36001
4,36059,36003
6322,36059,36005
48,36059,36007
16,36059,36011
17,36059,36013
45,36059,36015
73,36059,36021
40,36059,36027
22,36059,36029
34,36059,36031
14,36059,36033
15,36059,36043
11,36059,36045
28108,36059,36047
39,36059,36051
16,36059,36053
45,36059,36055
377389,36059,36059
98487,36059,36061
20,36059,36065
40,36059,36067
16,36059,36069
162,36059,36071
31,36059,36077
20,36059,36079
71351,36059,36081
12,36059,36083
777,36059,36085
261,36059,36087
9,36059,36095
58059,36059,36103
68,36059,36105
54,36059,36111
19,36059,36113
35,36059,36115
3496,36059,36119
85,36061,36001
28865,36061,36005
10,36061,36017
15,36061,36019
72,36061,36021
39,36061,36023
105,36061,36025
258,36061,36027
30,36061,36029
32,36061,36031
27938,36061,36047
37,36061,36051
5173,36061,36059
730763,36061,36061
6,36061,36065
140,36061,36067
294,36061,36071
34,36061,36075
50,36061,36077
22256,36061,36081
1175,36061,36085
1097,36061,36087
68,36061,36093
36,36061,36095
2222,36061,36103
23,36061,36105
232,36061,36109
13,36061,36111
30,36061,36113
11,36061,36115
8729,36061,36119
7,36063,36001
6,36063,36003
65,36063,36009
16,36063,36011
31,36063,36013
5,36063,36021
3,36063,36027
36227,36063,36029
153,36063,36037
13,36063,36039
11,36063,36045
203,36063,36055
36,36063,36061
59899,36063,36063
18,36063,36065
31,36063,36067
20,36063,36069
1323,36063,36073
21,36063,36081
20,36063,36085
15,36063,36093
23,36063,36101
8,36063,36103
12,36063,36105
7,36063,36109
14,36063,36117
9,36063,36119
64,36063,36121
214,36065,36001
62,36065,36007
56,36065,36011
16,36065,36015
289,36065,36017
11,36065,36021
30,36065,36023
14,36065,36025
20,36065,36027
17,36065,36029
4,36065,36033
105,36065,36035
8,36065,36037
2,36065,36039
19,36065,36041
2191,36065,36043
73,36065,36045
41,36065,36047
242,36065,36049
40,36065,36051
4145,36065,36053
40,36065,36055
287,36065,36057
61,36065,36061
25,36065,36063
88331,36065,36065
3234,36065,36067
18,36065,36069
4,36065,36071
2,36065,36073
434,36065,36075
420,36065,36077
3,36065,36081
20,36065,36083
2,36065,36089
14,36065,36091
33,36065,36093
40,36065,36095
69,36065,36099
8,36065,36101
16,36065,36103
29,36065,36105
16,36065,36109
9,36065,36111
23,36065,36115
66,36065,36119
193,36067,36001
13,36067,36005
187,36067,36007
35,36067,36009
2723,36067,36011
24,36067,36013
121,36067,36017
29,36067,36019
1090,36067,36023
13,36067,36027
159,36067,36029
57,36067,36031
17,36067,36033
4,36067,36037
356,36067,36045
74,36067,36047
2132,36067,36053
393,36067,36055
104,36067,36059
104,36067,36061
13,36067,36063
1332,36067,36065
201856,36067,36067
232,36067,36069
8,36067,36071
3392,36067,36075
55,36067,36077
103,36067,36081
52,36067,36083
41,36067,36089
3,36067,36091
56,36067,36093
315,36067,36099
34,36067,36101
14,36067,36103
11,36067,36105
6,36067,36107
462,36067,36109
31,36067,36111
6,36067,36115
49,36067,36117
60,36067,36119
21,36069,36001
5,36069,36003
8,36069,36005
185,36069,36011
26,36069,36015
11,36069,36017
8,36069,36025
10,36069,36027
134,36069,36029
82,36069,36037
28,36069,36047
525,36069,36051
10,36069,36053
12739,36069,36055
23,36069,36061
15,36069,36063
54,36069,36065
321,36069,36067
32239,36069,36069
4,36069,36071
94,36069,36073
29,36069,36075
12,36069,36077
9,36069,36081
78,36069,36097
1548,36069,36099
273,36069,36101
29,36069,36107
43,36069,36109
2728,36069,36117
36,36069,36119
27,36069,36121
717,36069,36123
301,36071,36001
4220,36071,36005
29,36071,36007
21,36071,36015
21,36071,36019
12,36071,36021
30,36071,36025
5046,36071,36027
61,36071,36029
12,36071,36043
11,36071,36045
2047,36071,36047
241,36071,36059
9984,36071,36061
9,36071,36063
8,36071,36065
113930,36071,36071
11,36071,36075
23,36071,36077
722,36071,36079
1201,36071,36081
15,36071,36083
218,36071,36085
8838,36071,36087
13,36071,36089
29,36071,36091
18,36071,36093
57,36071,36097
133,36071,36103
1706,36071,36105
23,36071,36109
2910,36071,36111
6024,36071,36119
5,36073,36011
794,36073,36029
818,36073,36037
32,36073,36051
4626,36073,36055
8,36073,36059
780,36073,36063
3,36073,36067
81,36073,36069
9482,36073,36073
6,36073,36081
2,36073,36099
6,36073,36101
12,36073,36117
52,36073,36121
61,36075,36001
64,36075,36003
71,36075,36007
306,36075,36011
3,36075,36017
9,36075,36019
76,36075,36023
47,36075,36027
62,36075,36029
55,36075,36035
9,36075,36041
21,36075,36043
746,36075,36045
47,36075,36047
6,36075,36049
76,36075,36053
114,36075,36055
2,36075,36057
18,36075,36059
14,36075,36061
580,36075,36065
16234,36075,36067
54,36075,36069
25,36075,36073
31435,36075,36075
3,36075,36077
9,36075,36089
14,36075,36091
10,36075,36093
67,36075,36099
29,36075,36103
17,36075,36105
78,36075,36109
1,36075,36111
8,36075,36115
117,36075,36117
15,36075,36119
11,36075,36121
232,36077,36001
2,36077,36003
8,36077,36005
197,36077,36007
12,36077,36013
1195,36077,36017
14,36077,36021
6,36077,36023
1706,36077,36025
3,36077,36027
12,36077,36029
16,36077,36031
32,36077,36035
33,36077,36039
339,36077,36043
6,36077,36045
8,36077,36047
21,36077,36049
14,36077,36051
98,36077,36053
32,36077,36055
114,36077,36057
16,36077,36059
105,36077,36061
497,36077,36065
70,36077,36067
16,36077,36071
8,36077,36075
21669,36077,36077
14,36077,36081
23,36077,36083
15,36077,36087
38,36077,36091
93,36077,36093
605,36077,36095
82,36077,36103
10,36077,36105
87,36077,36107
5,36077,36111
54,36077,36119
1997,36079,36005
9,36079,36007
3,36079,36023
1402,36079,36027
6,36079,36029
496,36079,36047
141,36079,36059
5451,36079,36061
520,36079,36071
14805,36079,36079
554,36079,36081
11,36079,36085
292,36079,36087
13,36079,36091
11,36079,36095
19,36079,36101
26,36079,36103
58,36079,36105
3,36079,36109
74,36079,36111
20298,36079,36119
172,36081,36001
22300,36081,36005
64,36081,36007
6,36081,36009
17,36081,36013
39,36081,36017
35,36081,36021
157,36081,36023
23,36081,36025
613,36081,36027
188,36081,36029
66,36081,36039
13,36081,36041
26,36081,36043
18,36081,36045
89969,36081,36047
6,36081,36051
92,36081,36055
76129,36081,36059
384517,36081,36061
43,36081,36063
163,36081,36065
50,36081,36067
26,36081,36069
383,36081,36071
27,36081,36075
62,36081,36077
102,36081,36079
457148,36081,36081
5,36081,36083
2576,36081,36085
434,36081,36087
172,36081,36089
10,36081,36091
6,36081,36093
10,36081,36095
40,36081,36101
13209,36081,36103
72,36081,36105
59,36081,36111
64,36081,36113
61,36081,36115
6,36081,36117
7872,36081,36119
32124,36083,36001
11,36083,36005
8,36083,36007
7,36083,36019
1691,36083,36021
75,36083,36027
37,36083,36035
319,36083,36039
14,36083,36047
55,36083,36055
162,36083,36057
14,36083,36059
110,36083,36061
22,36083,36065
16,36083,36071
5,36083,36081
34632,36083,36083
65,36083,36089
3598,36083,36091
2142,36083,36093
15,36083,36095
21,36083,36103
21,36083,36105
13,36083,36111
48,36083,36113
214,36083,36115
27,36083,36119
9,36083,36121
80,36085,36001
1049,36085,36005
10,36085,36015
15,36085,36023
35,36085,36027
11,36085,36029
27763,36085,36047
1188,36085,36059
48783,36085,36061
10,36085,36067
66,36085,36071
7,36085,36079
5973,36085,36081
106030,36085,36085
34,36085,36087
5,36085,36089
282,36085,36103
43,36085,36111
222,36085,36119
35,36087,36001
4976,36087,36005
21,36087,36007
7,36087,36009
25,36087,36021
213,36087,36027
32,36087,36029
31,36087,36037
25,36087,36039
1,36087,36045
2312,36087,36047
443,36087,36059
15634,36087,36061
2399,36087,36071
29,36087,36077
132,36087,36079
1566,36087,36081
8,36087,36083
70,36087,36085
84101,36087,36087
18,36087,36091
6,36087,36101
261,36087,36103
70,36087,36105
82,36087,36111
10918,36087,36119
46,36089,36001
5,36089,36007
6,36089,36013
4,36089,36015
60,36089,36019
4,36089,36023
30,36089,36027
35,36089,36029
12,36089,36031
1821,36089,36033
3,36089,36035
6,36089,36037
7,36089,36039
21,36089,36041
1607,36089,36045
33,36089,36047
157,36089,36049
4,36089,36053
83,36089,36055
7,36089,36059
26,36089,36065
164,36089,36067
5,36089,36069
9,36089,36071
36,36089,36075
18,36089,36079
8,36089,36083
1,36089,36085
39158,36089,36089
18,36089,36091
15,36089,36095
7,36089,36099
4,36089,36109
44,36089,36111
21,36089,36113
15,36089,36119
24256,36091,36001
28,36091,36007
1,36091,36009
13,36091,36011
2,36091,36015
9,36091,36017
6,36091,36019
128,36091,36021
52,36091,36027
30,36091,36029
37,36091,36031
759,36091,36035
155,36091,36039
27,36091,36041
10,36091,36043
99,36091,36045
41,36091,36047
20,36091,36055
665,36091,36057
24,36091,36059
176,36091,36061
24,36091,36065
17,36091,36067
6,36091,36069
9,36091,36071
51,36091,36077
27,36091,36079
31,36091,36081
5169,36091,36083
14,36091,36085
61985,36091,36091
10219,36091,36093
59,36091,36095
14,36091,36103
23,36091,36105
8,36091,36109
5,36091,36111
6268,36091,36113
1713,36091,36115
109,36091,36119
41,36091,36123
23847,36093,36001
3,36093,36005
13,36093,36017
33,36093,36019
140,36093,36021
34,36093,36027
12,36093,36033
285,36093,36035
244,36093,36039
6,36093,36045
66,36093,36047
53,36093,36055
497,36093,36057
155,36093,36061
42,36093,36067
18,36093,36069
63,36093,36071
14,36093,36077
41,36093,36081
2291,36093,36083
7,36093,36085
18,36093,36089
4613,36093,36091
38755,36093,36093
504,36093,36095
5,36093,36103
14,36093,36111
193,36093,36113
109,36093,36115
88,36093,36119
2063,36095,36001
2,36095,36005
7,36095,36007
3,36095,36013
34,36095,36017
6,36095,36019
24,36095,36021
632,36095,36025
13,36095,36027
9,36095,36031
58,36095,36035
202,36095,36039
13,36095,36047
7,36095,36049
3,36095,36053
3,36095,36055
491,36095,36057
22,36095,36059
90,36095,36061
10,36095,36065
14,36095,36067
8,36095,36071
20,36095,36073
458,36095,36077
30,36095,36081
213,36095,36083
31,36095,36087
3,36095,36089
179,36095,36091
1151,36095,36093
7666,36095,36095
15,36095,36103
3,36095,36107
24,36095,36111
6,36095,36113
5,36095,36115
28,36095,36119
7,36097,36001
7,36097,36003
8,36097,36007
999,36097,36015
22,36097,36023
8,36097,36027
3,36097,36029
3,36097,36047
16,36097,36055
1,36097,36061
3,36097,36067
37,36097,36069
3,36097,36075
1,36097,36081
3906,36097,36097
109,36097,36099
772,36097,36101
20,36097,36107
1654,36097,36109
338,36097,36123
6,36099,36001
25,36099,36007
597,36099,36011
55,36099,36015
20,36099,36023
1,36099,36027
22,36099,36029
18,36099,36037
4,36099,36045
15,36099,36051
390,36099,36055
2,36099,36061
272,36099,36067
2876,36099,36069
3,36099,36073
21,36099,36075
6,36099,36077
95,36099,36097
8368,36099,36099
14,36099,36101
11,36099,36103
11,36099,36107
1442,36099,36109
576,36099,36117
103,36099,36123
2,36101,36001
908,36101,36003
41,36101,36007
63,36101,36009
4161,36101,36015
8,36101,36017
9,36101,36019
3,36101,36025
15,36101,36027
81,36101,36029
25,36101,36037
26,36101,36045
6,36101,36047
1299,36101,36051
7,36101,36053
779,36101,36055
4,36101,36059
16,36101,36061
2,36101,36063
14,36101,36065
34,36101,36067
468,36101,36069
12,36101,36073
7,36101,36075
2,36101,36079
42,36101,36081
3,36101,36089
421,36101,36097
2,36101,36099
31554,36101,36101
4,36101,36103
15,36101,36105
79,36101,36107
89,36101,36109
8,36101,36113
3,36101,36115
41,36101,36117
13,36101,36121
484,36101,36123
89,36103,36001
2926,36103,36005
13,36103,36007
2,36103,36009
35,36103,36013
8,36103,36015
17,36103,36025
49,36103,36027
54,36103,36029
10,36103,36033
30,36103,36039
51,36103,36043
13,36103,36045
11406,36103,36047
38,36103,36051
16,36103,36053
60,36103,36055
13,36103,36057
83718,36103,36059
40993,36103,36061
19,36103,36063
16,36103,36065
31,36103,36067
124,36103,36069
72,36103,36071
13,36103,36075
21,36103,36077
25079,36103,36081
546,36103,36085
113,36103,36087
15,36103,36091
27,36103,36093
25,36103,36095
23,36103,36101
548434,36103,36103
33,36103,36105
44,36103,36111
178,36103,36115
14,36103,36117
1480,36103,36119
82,36105,36001
87,36105,36005
20,36105,36007
4,36105,36015
142,36105,36025
153,36105,36027
12,36105,36041
48,36105,36047
2,36105,36051
5,36105,36053
8,36105,36055
55,36105,36059
924,36105,36061
5137,36105,36071
22,36105,36079
213,36105,36081
8,36105,36085
347,36105,36087
19,36105,36103
21603,36105,36105
824,36105,36111
434,36105,36119
33,36107,36003
12,36107,36005
7032,36107,36007
1,36107,36009
6,36107,36011
727,36107,36015
39,36107,36017
302,36107,36023
44,36107,36025
13,36107,36027
1,36107,36047
116,36107,36055
9,36107,36059
52,36107,36067
3,36107,36069
5,36107,36075
17,36107,36077
