Source	Target
38369	52386
38369	73593
38369	237066
38369	324029
39249	52916
39485	116289
39485	118174
39485	147460
39485	234230
39588	51241
39588	59666
39588	70622
39588	73593
39588	78038
39588	83302
39588	141984
39588	331113
39588	1121003
39588	1182355
39628	88203
39789	215722
40516	72861
40516	134316
40516	726990
41750	52916
41750	87048
41750	187591
41750	267188
41919	73593
42610	73593
42610	80650
42610	84720
42610	92096
42610	98349
42610	120582
42610	202917
42610	209894
42610	222145
42610	232133
42610	240141
42610	241076
42610	257651
42610	666315
42610	718137
42610	1333004
42610	1820635
42872	52916
42872	83302
42872	87048
42872	156006
43311	148366
43311	433165
43656	891225
43881	126601
44458	1498997
45174	70622
45174	123994
45240	91418
45550	107517
45550	179652
45550	666315
45550	756299
45743	62778
45743	88132
45743	100960
45743	116289
45743	156864
45743	166685
46299	61629
46299	116289
46325	107517
46425	51134
46425	51255
46425	60748
46425	90065
46425	102433
46425	103719
47072	145591
47103	1465440
47439	65771
47439	83302
47439	167234
48247	52393
48247	60748
48247	73067
48247	76065
48247	78604
48247	85965
48247	87114
48247	148366
48247	149915
48247	294411
48247	937738
48247	1048261
48247	1628221
49809	1182355
50107	87048
50107	105030
50107	1115438
50267	70622
50267	82893
50267	87114
50267	98041
50267	149992
50267	161563
50267	404522
50905	52916
50905	157974
50905	250100
50905	734137
51134	109338
51241	72059
51241	924299
51309	139406
51309	350045
51309	578062
51309	640215
51372	59253
51372	112266
51372	158594
51372	844555
51372	1115438
52386	73593
52386	93882
52386	97991
52386	278366
52386	349850
52386	813954
52393	88470
52393	240096
52393	265896
52393	594832
52731	103719
52916	67970
52916	71080
52916	76222
52916	78088
52916	80236
52916	82893
52916	83302
52916	85034
52916	87592
52916	94003
52916	95911
52916	100562
52916	101587
52916	105030
52916	107684
52916	109232
52916	110663
52916	112696
52916	118894
52916	132572
52916	132826
52916	142350
52916	157974
52916	158706
52916	158729
52916	170394
52916	171697
52916	178746
52916	202678
52916	207280
52916	209415
52916	215886
52916	216813
52916	219808
52916	220659
52916	222184
52916	224367
52916	229556
52916	251922
52916	253811
52916	257262
52916	269019
52916	275567
52916	283385
52916	290003
52916	297231
52916	299086
52916	312928
52916	331113
52916	331572
52916	344397
52916	346289
52916	356171
52916	361903
52916	367950
52916	412581
52916	454661
52916	455320
52916	468002
52916	482412
52916	483461
52916	489767
52916	552550
52916	555820
52916	587022
52916	594832
52916	640296
52916	666315
52916	730316
52916	734137
52916	755370
52916	774861
52916	813445
52916	871111
52916	888591
52916	916753
52916	983329
52916	1002924
52916	1121003
52916	1160246
52916	1208781
52916	1217200
52916	1231999
52916	1392071
52916	1416939
52916	1467964
53178	54971
53178	1488825
53320	58499
53320	1416939
53584	76065
53584	93462
53584	94941
53584	183756
53584	331113
53617	119848
53921	507153
54007	70622
54007	78038
54007	81475
54007	93462
54007	112266
54007	119481
54007	139406
54007	168350
54007	207280
54007	208576
54007	222145
54007	297231
54007	331113
54007	350045
54007	433821
54007	594832
54007	813954
54971	145591
54971	1039049
54985	78604
54985	114562
54985	192044
54985	813954
55495	726525
55495	1041209
56003	220950
56430	78604
56457	58975
56457	208576
56457	210890
58240	1830963
58275	95285
58275	1115438
58500	107026
58500	666315
58590	102278
58590	132826
58643	65771
58643	159490
58975	81475
58975	360991
58975	813954
59253	112266
59463	100179
59666	160577
59666	297231
60589	267188
60748	68037
60748	73067
60748	90065
60748	93462
60748	126601
60748	267188
60748	406819
60748	1021405
61274	238799
61462	90038
61462	98372
61462	179626
61462	232307
61462	257515
61523	70190
61523	71806
61523	80650
61599	109151
61808	322075
61851	87048
61851	98615
61851	267188
61851	294411
61851	1628221
61889	148216
61894	508851
61894	1397312
61894	1839895
62435	297231
62435	350045
62435	810704
62435	1115438
62543	397099
62778	88132
64707	65679
65309	144754
65309	228945
65548	68037
65771	74385
65771	83302
65771	184103
65771	188666
65771	216265
65858	477279
66452	1182355
66904	290003
66904	294411
67581	79735
67581	426785
67845	455320
67854	85883
67970	93458
68037	406819
68321	161551
68470	135593
68538	78604
70190	132245
70622	73593
70622	89621
70622	93462
70622	94901
70622	100441
70622	133077
70622	139406
70622	141984
70622	182143
70622	207280
70622	222145
70622	297231
70622	312928
70622	331113
70622	334608
70622	1002924
70622	1296005
70804	1633068
71080	170394
71080	219808
71270	88470
71270	172141
71270	182143
71270	237574
71806	345882
71806	416217
73004	73593
73004	113474
73067	126601
73067	296890
73593	78604
73593	83302
73593	93462
73593	116771
73593	134316
73593	141984
73593	145591
73593	188666
73593	312928
73593	331113
73593	338139
73593	813954
73656	85034
73656	178347
73656	185056
73656	200383
73656	331113
73656	360991
73928	1492227
74165	177907
75063	76833
75255	137064
75307	87048
75307	107334
76065	157563
76833	84720
76833	182920
76833	348136
76833	530598
77395	227329
77944	87048
77944	324707
78038	356171
78038	666315
78439	220474
78439	266189
78439	361903
78439	1448478
78604	86183
78604	197966
78604	267188
78604	335251
78604	623594
78988	107517
79424	495966
79735	191931
79735	426785
80236	698658
80650	83339
80650	109575
80650	119391
80650	325950
80787	87048
81475	297231
81475	331113
81475	334608
81475	485171
82893	90040
82893	105362
82893	140421
82893	454661
82893	552433
82893	1814697
83066	167234
83121	118790
83302	93462
83302	120335
83302	126601
83302	161563
83302	186044
83302	604338
83339	109575
83981	983329
84314	100562
84314	100960
84314	231731
84720	348136
85026	179626
85034	135593
85034	482916
85116	161563
85883	188666
85965	107684
85965	193342
85965	204693
85965	1048261
86056	88203
86584	188916
86894	98041
86894	204169
86894	404522
87048	91418
87048	92096
87048	98676
87048	99176
87048	107517
87048	109151
87048	109338
87048	113474
87048	119056
87048	122850
87048	172110
87048	219902
87048	256081
87048	256232
87048	295490
87048	338139
87048	360991
87048	1126839
87114	267188
87114	312928
87114	766077
87114	1115438
87488	485171
87488	494742
88132	100960
88132	116289
88132	156864
88203	132245
88203	141984
88438	119848
88470	92546
88470	108866
88470	168975
88470	240096
88470	322075
88470	325950
88470	335251
88470	339645
88470	704556
88470	887900
89621	93462
89621	119056
89621	141984
89621	182143
89621	188284
89621	237574
89621	297231
89621	887900
90038	324029
90038	507153
90065	103941
90065	197966
90065	604338
91418	94941
91418	220950
92096	96413
92096	211015
92096	267188
92096	594832
92546	182275
92546	495966
92546	594832
92565	116449
92565	244111
92568	143336
92756	507153
93458	1072257
93462	182143
93462	227255
93462	297231
93462	324029
93462	1249575
93831	173385
94003	132923
94941	294411
95285	286742
96569	170394
96606	151377
97653	395203
97991	1465440
98041	149992
98041	180957
98041	232133
98041	257651
98041	267188
98041	404522
98041	685017
98041	1209976
98041	1293883
98228	360991
98512	1115438
98676	119865
98676	180957
98676	676032
98837	169957
99176	267188
99176	813954
99267	149915
99267	951592
99816	295490
100179	119391
100179	266670
100441	312928
100441	331113
100562	105030
100562	158706
100562	358705
100960	156864
100960	300045
101106	108866
101106	116771
101106	122045
101106	843583
101587	961070
102278	132826
102278	1115438
103719	294411
103941	156006
103941	188916
103941	197966
103941	468002
103941	483461
103941	501143
103941	813954
104664	290289
105030	202048
105030	257262
105030	942156
105362	222184
105362	361903
105829	311164
105829	980020
106476	666315
107223	257651
107334	120582
107517	172690
107517	217779
107517	294411
108847	585157
108866	116771
108866	183756
108866	209358
108866	238799
108866	335251
108866	758634
108866	1012859
109151	180957
109151	212278
109151	1572231
109232	141865
109232	159224
109232	229371
109232	373575
109232	620151
109575	483461
109575	1960038
110209	183756
110209	209894
110452	156006
110663	186044
110663	272009
111193	256310
112088	726525
112266	119848
112266	278332
112266	290374
112266	810704
112266	1115438
112266	1926543
112377	209894
112696	170394
113631	141436
113631	160577
113631	191221
113631	338138
113862	1115438
114138	161563
115410	144512
115875	349850
115875	477697
116449	176272
116449	182275
116449	256021
116449	1397312
116771	120335
116771	156006
116771	758634
117816	126144
117816	144787
117816	278366
117816	290237
117816	585157
117816	1646955
118174	130597
118174	139406
118174	182425
118174	204169
118174	240141
118174	329109
118174	666315
118174	685017
118174	1598737
118790	388244
118790	594832
118790	1828912
118803	216265
118894	170394
119391	144034
119481	139406
119481	186344
119481	297231
119481	350493
119481	468002
119481	483461
119481	485171
119481	810704
119481	1960038
119808	159490
119808	161563
119808	367950
119848	316587
119865	813954
120035	215587
120035	1557689
120335	126043
120335	232307
120582	267188
120582	552433
120582	1077833
120609	507153
122045	239923
122142	485171
122850	1307528
124450	930818
125209	1115438
125368	278366
126043	1115438
126601	215886
126601	467659
126601	483461
126601	604338
126601	726990
126601	734137
126601	1021405
127264	136225
127961	188666
127961	388402
127968	1960038
129021	139137
129021	747349
130156	640296
130406	257262
130597	339768
132245	209358
132245	232307
132353	182275
132923	138409
132923	275567
132923	346206
132923	836475
133324	726990
133324	1569817
134316	295490
134316	312928
134472	220950
135593	1472735
136225	468002
136266	250937
136266	319153
136266	367485
136266	504187
137064	291992
137064	1088953
137064	1557689
137593	215587
137593	291992
137593	1557689
138684	520237
139137	744534
139137	2034314
139224	751874
139224	863870
139406	156804
139406	182425
139406	350045
139406	360872
139406	459624
139406	745243
139406	1133494
139406	1296005
139406	1598737
140408	178447
140408	1472735
140421	335880
141984	192044
141984	237574
142175	240096
142350	256232
142567	197898
142567	1255946
142567	1646955
142567	1866667
143133	202917
143133	367302
144512	278366
144512	415166
144512	1164958
144754	305256
146036	190744
146036	195486
147460	161560
148216	269019
148216	711264
148366	433165
149915	183756
149915	237574
149915	267188
149915	951592
149915	1115438
149992	182425
149992	404522
153452	1115438
154258	158729
154258	322075
154258	344397
154258	638434
156006	178447
156006	232307
156006	441764
156006	805116
156864	300045
157974	942156
158706	267188
158706	1011064
158706	1245099
158729	169957
158729	177725
159224	229371
159490	552550
159490	836475
159490	857149
159490	951592
161563	167234
161563	179110
161563	726525
163257	257651
163679	227754
165043	1814697
166685	203769
166685	1669409
168005	1428411
168350	194546
168350	1115438
168975	1594522
169064	182143
169064	208576
169957	632953
169957	1960038
170904	195185
171446	227329
171446	275567
171710	297231
171710	463766
172110	172918
172110	648351
172514	269019
173086	178746
173385	232307
173385	501143
173385	502694
173385	574863
177725	187880
177725	415554
177907	395203
178347	185056
178447	1088953
178447	1472735
178522	187591
178746	278366
179174	468002
179174	648351
179174	1021405
179626	248357
181448	373575
182143	641161
182143	726990
182697	285861
183309	477697
183756	209894
183756	227135
183756	257164
183756	391917
183756	392722
184008	356171
184103	188666
184876	186344
184876	269019
184876	318518
184932	329109
184932	1296005
185056	813954
185428	1293883
185428	1459784
186344	1960038
187318	195185
187591	229371
187591	292132
187591	331572
187591	362984
187591	363383
187591	424583
187591	597281
187591	710548
187591	1133970
187591	2130332
188659	217797
188666	1616673
188766	805116
188916	421742
189040	317622
190704	191592
190704	228945
190704	247948
190704	250100
190744	520237
191221	1633068
191592	467974
191931	1960038
193264	863548
194546	389863
194546	462410
195185	1216460
195839	415166
197966	467659
197966	468002
197966	483461
197966	648351
197966	813954
199830	219902
201964	219808
202678	1115438
202917	241076
202917	1820635
203995	220950
207011	675147
208491	361903
208491	415166
208576	774861
209358	1115438
210890	1755277
212198	1061022
212198	1115438
212278	660555
215167	951592
215587	291992
215587	1557689
215722	1669409
215886	648351
216265	1634484
217790	1465440
217797	397099
219623	361903
219808	942156
220950	1089128
222145	331113
222184	238663
222184	361903
222184	1498997
222839	494742
222839	502694
224367	666315
224420	269019
226204	1755277
227135	356708
227135	1189492
227135	1874059
227255	666315
227754	239510
227754	495966
228945	238663
229371	267188
229371	290289
229371	951592
229371	1234315
231731	888591
231963	1115438
232133	261428
232133	294411
232133	623594
232133	642317
232133	1293883
232307	1322579
232307	1641282
232307	1669409
232405	1115438
234230	408956
235750	1115438
237332	1115438
237332	1445152
238663	843583
238663	1856887
238799	346289
239510	495966
239886	240691
239923	482412
240096	346289
240141	1121003
240691	1115438
241076	1820635
242363	717212
243164	1115438
246974	1960038
247948	1163231
250100	299086
256232	871111
256310	956931
257164	470678
257651	294411
257651	463766
257651	1293883
257651	1314514
262673	298446
262673	1115438
263312	290248
263312	1072257
263312	1428411
264103	566690
267188	346289
267188	843583
269556	299086
274169	507153
274169	1218881
274829	1216460
277936	363383
278366	358705
278366	361903
278366	482916
278366	843583
278366	1443204
278366	1856887
282980	1048261
283385	1127416
285211	290289
285213	291992
285861	506804
285861	648351
285861	1160246
288077	329109
290248	1075127
290289	935578
292132	1856887
295490	863870
297231	350045
297231	463766
297231	485171
297231	517668
297231	810704
297231	1598737
301216	304938
301216	632953
308097	404522
311164	980020
312928	813954
315195	354271
315195	1641282
319153	1465440
319153	1787493
322075	2123469
325950	394943
329109	350045
329109	685017
329109	1177556
331113	813954
331409	388244
338138	351932
338139	1115438
339645	454661
339645	1160246
339768	864018
339768	891225
346289	594832
346289	1478434
346289	1669409
348136	530598
350045	350493
350045	404522
350045	594832
350045	1115438
350493	1115438
352683	1072257
354271	1641282
367485	1115438
367485	1121003
367485	1314514
375925	1578317
380671	1008065
384227	1314514
384227	2152056
388351	843583
388402	1578317
388402	1602817
395203	502694
415166	443780
440453	730316
441183	1012859
459624	578062
463306	1115438
463766	642317
463766	1293883
467659	1177556
467659	1669409
468002	648351
468002	1021405
468002	1439545
477834	1563435
485171	745243
485171	766077
501143	1669409
508851	1037437
542885	834529
551500	715705
551500	1856887
552550	836475
587022	1072257
594832	717212
604338	730316
630749	1862464
638434	863548
638434	1217200
638434	1222910
648351	813954
648351	843583
648351	1021405
648351	1208781
715705	1212701
726990	1569817
730316	1115438
730316	1960038
732912	1314514
751874	863870
805963	1397312
810704	1926543
813445	1844384
813954	1234315
834529	1314514
836475	951592
839895	1189492
871111	1046810
891225	1115438
909816	1828912
947925	1115438
1008065	1115438
1012859	1115438
1012859	2021817
1101324	1392071
1112347	1594522
1115406	1115438
1177556	1182355
1255946	1563435
1578317	1602817
1681592	1960038
1839895	1855487
